Sigma,Alpha,Seed,Cost,Peak
0.25,0.01,3,25.49015259257273,7.56667031971437
0.25,0.01,4,23.56464660756503,7.841091602311019
0.25,0.01,9,22.189297170972665,8.122735403500586
0.25,0.01,8,21.69647909716639,7.5850711885121385
0.25,0.01,14,15.779116067682148,7.9125673606823685
0.25,0.01,2,26.412798647069252,7.8417964673651195
0.25,0.01,1,32.10590225955283,9.138021103875515
0.25,0.01,7,30.33139899280245,8.531214678766691
0.25,0.01,6,30.975575748808126,9.746275255011865
0.25,0.01,10,26.33676803692242,8.376871001238428
0.25,0.01,11,20.903453922741818,7.453637410106326
0.25,0.01,13,25.64530256378884,7.391007309879567
0.25,0.01,12,24.718820369725254,9.68439993035726
0.25,0.01,15,19.275047858055046,7.9233684493921235
0.25,0.01,16,26.62774971003345,8.021892609057497
0.25,0.01,17,23.892149497749898,8.195664899839352
0.25,0.01,18,26.070313360513968,8.673351293537092
0.25,0.01,19,22.643270540976474,7.424977186918628
0.5,0.01,2,23.48900029083114,5.683593157383449
0.5,0.01,1,26.882949128942514,6.170089067529615
0.5,0.01,3,23.672163667108688,6.1667246397288356
0.5,0.01,8,18.575770319341668,5.170142626162804
0.5,0.01,5,19.560564201040258,5.796736710469087
0.5,0.01,14,15.407991457844277,7.976503551427532
0.5,0.01,4,19.878405511269786,5.682183427347965
0.5,0.01,9,21.344777624339773,6.245471000671038
0.5,0.01,7,25.52223004059782,6.099527926263875
0.5,0.01,6,25.759711101581885,5.607567239015592
0.5,0.01,11,18.0602546856792,4.973420715530401
0.5,0.01,10,22.391951986694313,5.432577163286902
0.75,0.01,1,14.55242859103034,4.71095159
0.75,0.01,2,13.581484844154337,4.4291085
0.75,0.01,3,13.785682972570298,5.375756064911608
0.75,0.01,4,13.255419118201468,4.3157387709064094
0.5,0.01,12,21.313841633711462,6.596607139302185
0.75,0.01,5,12.703090117930667,4.75115333
0.5,0.01,15,15.985487143316977,5.846737113022
0.75,0.01,6,13.524232047427592,4.72782893
0.5,0.01,13,21.550714692469107,5.12255303150212
0.75,0.01,7,13.373304170601628,5.915018826075141
0.75,0.01,8,11.693272309518955,5.131606468436677
0.75,0.01,9,13.856401084615896,4.503602947779963
0.5,0.01,16,22.61332038243848,5.813393824835909
0.75,0.01,10,13.033225862912929,6.298849993368401
0.75,0.01,11,10.945111681494009,4.34639301
0.75,0.01,12,14.846296513376684,6.376780488227846
0.75,0.01,14,14.223420035056787,5.543030962895069
0.75,0.01,13,11.937537830915762,4.57759626
0.5,0.01,17,22.03300228110846,5.447459246733432
0.5,0.01,19,19.172850515103953,4.84995463949204
0.5,0.01,18,21.497687134116543,5.139620349971068
0.75,0.01,15,13.241844859809815,4.32536822
0.75,0.01,16,12.589708762434782,3.939097187200405
0.75,0.01,17,12.028600173396752,5.237080820527136
0.75,0.01,18,12.261147542514546,4.584217462145536
0.75,0.01,19,12.13793168793897,4.723677425113828
0.0,0.05,1,30.454350242356973,12.900700316622654
0.0,0.05,2,26.60554577295324,12.148509802076077
0.0,0.05,3,27.22944978313149,11.453407554892621
0.0,0.05,5,23.449217399518876,10.0
0.0,0.05,4,24.170499930273692,10.514922625157244
0.0,0.05,6,30.71024884285704,12.653367622366632
0.0,0.05,7,30.748706701374687,12.285819690404704
0.0,0.05,9,24.35849781543727,10.419527181072299
0.0,0.05,8,22.6520443457156,11.27153681360568
0.0,0.05,12,25.299738162112018,12.386279205675574
0.0,0.05,11,21.347203595599932,10.428605026997719
0.0,0.05,10,26.662600640272153,10.324876605991447
