Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA
0.25,0.3,5,86.60222920873208,90.20905173397537,100.0
0.25,0.3,1,97.88737153205486,94.21516964388266,100.0
0.25,0.3,6,87.48560208461839,86.3168414316111,100.0
0.25,0.3,9,97.25291334500898,94.29164453337614,100.0
0.25,0.3,7,88.3612910845281,95.86911571642425,100.0
0.25,0.3,10,95.2469614867118,93.34508951410055,100.0
0.25,0.3,11,96.14794372540231,94.31889373929874,100.0
0.25,0.3,12,94.2830506878908,74.02529084573281,100.0
0.25,0.3,8,98.99858600128884,91.56177699897714,100.0
0.25,0.3,14,97.7984845741324,91.42181440533884,100.0
0.25,0.3,13,87.72560803774746,94.29965040537525,100.0
0.25,0.3,15,98.16325935574656,91.08244051172932,100.0
0.25,0.3,16,90.2952671238884,85.35005033387873,100.0
0.25,0.3,17,97.9728678348676,93.43303319470407,100.0
0.25,0.3,18,86.70025906992245,87.69220775377671,100.0
0.5,0.3,1,97.71052785904524,94.76918562171495,100.0
0.5,0.3,2,87.56588082928481,82.8501708514082,100.0
0.25,0.3,19,87.16667955833513,92.85349475332117,100.0
0.5,0.3,5,87.29670442827943,91.14673554552762,100.0
0.5,0.3,3,93.78987429745752,93.72305870202123,100.0
0.5,0.3,4,88.5654189012767,91.27132922227294,100.0
0.5,0.3,6,87.71654981259994,83.07987900175196,100.0
0.5,0.3,9,97.35350739094336,94.63290629394601,100.0
0.5,0.3,11,96.33686697977627,94.71086975152686,100.0
0.5,0.3,8,99.06125464598162,92.36990966308115,100.0
0.5,0.3,10,95.28427690019448,93.98243348328594,100.0
0.5,0.3,7,88.73143366960292,95.76249218063465,100.0
0.5,0.3,12,94.09989405099284,76.93402084325157,100.0
0.5,0.3,14,97.54133173389097,92.24335135416702,100.0
0.5,0.3,13,87.58904727421827,94.8455756201592,100.0
0.5,0.3,15,97.85445790558607,92.0514237086093,100.0
0.5,0.3,17,97.76382431970133,93.43378911503768,100.0
0.5,0.3,18,86.97538157469667,89.41227415906046,100.0
0.5,0.3,16,90.85330033780879,92.44083767626248,100.0
0.75,0.3,2,87.51001076361898,83.80691354041791,100.0
0.75,0.3,1,97.52897033853594,95.32320117695755,100.0
0.5,0.3,19,87.630537721042,92.60736761198984,100.0
0.75,0.3,3,93.90433182540241,94.38787356007876,100.0
0.75,0.3,4,88.20125918113645,90.81843809283893,100.0
0.75,0.3,5,88.17267386881447,91.27337774061279,100.0
0.75,0.3,9,97.27767834089971,94.90427379052603,100.0
0.75,0.3,6,87.8657440853857,84.00153307833722,100.0
0.75,0.3,7,88.72035151359383,94.89221537734967,100.0
0.75,0.3,8,99.13491676174843,93.17804171076146,100.0
0.75,0.3,10,95.3676643767848,94.6197769663211,100.0
0.75,0.3,11,96.39736805160211,94.51546620840372,100.0
0.75,0.3,12,94.47757446994045,81.11323043929526,100.0
0.75,0.3,14,97.34651493610102,93.06488767634706,100.0
0.75,0.3,15,97.4826254947093,90.97435373036117,100.0
0.75,0.3,13,87.90468241800966,92.55010887611148,100.0
0.0,0.5,2,87.83169864492874,85.50538195720586,100.0
0.75,0.3,16,90.50523722470528,87.56051720434695,100.0
0.75,0.3,18,87.08570597584749,89.78444540464635,100.0
0.75,0.3,17,97.5501265076743,93.07430636175219,100.0
0.0,0.5,3,93.59998538768527,92.39342847880143,100.0
0.0,0.5,4,88.43312525386105,91.57452607996622,100.0
0.0,0.5,5,86.3066562535387,89.27136863766522,100.0
0.75,0.3,19,88.23791464787656,92.26515549438335,100.0
0.0,0.5,1,98.09462379301405,93.83384157744433,100.0
0.0,0.5,6,87.17936892521223,88.13580099292719,100.0
