Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA
0.5,0.5,4,-24.241446709377655,49.411507132572325,100.0
0.5,0.5,0,-29.180647902534773,60.709513241954426,100.0
0.5,0.5,3,1.4696453761167347,67.4108894852294,100.0
0.25,0.5,1,-10.574434859922135,61.21428683038309,100.0
0.5,0.5,2,-24.58489369985692,60.300525457506005,100.0
0.75,0.5,0,-30.48369714270795,56.85135973010593,100.0
0.5,0.5,1,-13.148734905430913,63.69545819928186,100.0
0.75,0.5,4,-21.060216100859893,57.18549585532073,100.0
0.75,0.5,3,2.4241474205942097,68.4303321150859,100.0
0.75,0.5,2,-21.095353184566918,60.419777271154786,100.0
0.75,0.5,1,-13.483354019148763,63.69545819928186,100.0
