Sigma,Alpha,Seed,Cost,Peak
0.0,0.5,10,59.86228135557141,16.167018200931018
0.0,0.5,18,52.04572229711759,18.73286920467289
0.0,0.5,9,63.24314444695245,16.302420040244645
0.0,0.5,15,59.0856083864085,15.031773223816836
0.1,0.5,2,48.282802034632596,17.560811511442342
0.0,0.5,17,50.70582734602924,13.35289356826177
0.0,0.5,19,49.62408089796778,12.777322682468789
0.1,0.5,7,55.01046752856544,14.930516414423678
0.1,0.5,6,51.741704803934695,13.683791261414365
0.1,0.5,5,50.72605397617509,18.1781075673309
0.1,0.5,10,52.15215329664355,17.633262864036972
0.0,0.5,16,54.78299486631491,19.635571951765577
0.1,0.5,1,55.677638021004896,12.693772630678872
0.1,0.5,3,54.564784617024294,17.128679714120143
0.1,0.5,0,60.5515223247504,17.789798732783325
0.1,0.5,4,56.83156982436651,15.39231439811061
0.1,0.5,9,55.44811548365167,21.05656961046063
0.1,0.5,8,57.651025535586776,14.961785306241863
0.1,0.5,11,57.0227672693271,14.392223398904202
0.1,0.5,12,48.56384441020522,14.63161015005707
0.1,0.5,18,47.34131926937009,12.375249681575315
0.1,0.5,19,46.69479609382311,11.436393441847823
0.1,0.5,13,51.78986359488783,15.174468495156683
0.1,0.5,16,51.023491030097475,14.627829818595885
0.1,0.5,17,38.43064991648521,11.005988946255616
0.1,0.5,15,59.039658087227714,19.777442502444593
0.25,0.5,1,48.1210777298715,12.097414947042674
0.25,0.5,3,47.710123091451464,18.08787787134551
0.25,0.5,0,61.68658625205874,14.338688515666899
0.25,0.5,2,53.226106393663635,15.85419494872307
0.25,0.5,4,51.94977456887383,17.608135690894354
0.1,0.5,14,62.87682428676049,17.686157696716247
0.25,0.5,7,44.69676102205406,11.7473184141729
0.25,0.5,5,55.533798134091505,12.561618619112558
0.25,0.5,9,50.55806197236118,11.597551605047938
0.25,0.5,6,57.0370924239259,21.43833060992665
0.25,0.5,11,53.395672152225046,11.849779162766508
0.25,0.5,10,56.553927210764435,12.36008452907975
0.25,0.5,8,58.20611188681751,18.294897359663054
0.25,0.5,12,48.25039612949436,15.685020621800195
0.25,0.5,16,49.12013737175206,17.1617050071001
0.25,0.5,15,49.915223620845175,18.811154608927083
0.25,0.5,13,54.601483118640004,14.634980660636886
0.25,0.5,14,62.06084060069672,18.01327225419396
0.5,0.5,1,41.19466259858018,13.810977403788899
0.25,0.5,17,63.19313233055495,21.94753524692811
0.5,0.5,5,52.39078241914291,15.553498057820523
0.5,0.5,3,51.11105887573156,13.524892408738229
0.5,0.5,0,57.38224789556008,18.063786912073482
0.25,0.5,19,57.9906506559022,15.189913907237614
0.25,0.5,18,57.4436391159115,19.973745171207298
0.5,0.5,4,56.89161913084418,16.584749248255115
0.5,0.5,2,51.169401219088314,14.836051575547824
0.5,0.5,6,54.464903152446624,15.84039905982146
0.5,0.5,8,55.76267989850704,17.221553103453058
0.5,0.5,9,55.00959286795698,12.717889227996553
0.5,0.5,10,48.980483860447066,13.259136897889357
0.5,0.5,7,63.96550847581207,20.677834257574293
0.5,0.5,16,48.86901019410196,12.675744313266659
0.5,0.5,11,56.29321664596223,14.638946946088684
0.5,0.5,13,46.73234488661918,13.470900177379612
0.5,0.5,12,51.13311673385978,15.737503496418983
0.5,0.5,18,48.60980141751675,12.542935028338533
0.75,0.5,0,47.349928060665,13.966296940635289
0.5,0.5,15,59.471208817656915,13.528324217929054
0.75,0.5,2,50.46221701356474,11.32908538486055
0.5,0.5,17,55.6008866092584,12.977247752509394
0.5,0.5,19,55.46268518832478,12.34052427650799
0.5,0.5,14,55.10311960965129,17.333610086902727
0.75,0.5,1,46.08343205782745,17.411771887527877
0.75,0.5,5,48.03205397893156,12.263280102566881
0.75,0.5,13,45.753262565805954,16.960204259975317
0.75,0.5,7,56.038812076518795,14.190044563310126
0.75,0.5,3,52.3435376802224,11.189877208031422
0.75,0.5,10,50.94556821952417,16.060812737018612
0.75,0.5,6,52.883023718888765,13.507806596959625
0.75,0.5,4,52.74022549572497,12.842041726898383
0.75,0.5,14,56.15771617025484,15.448815946053163
0.75,0.5,12,53.941620844584264,12.356561930737538
0.75,0.5,9,58.78305872350419,19.325786798687137
0.75,0.5,15,55.80255216719294,19.602566591634393
0.75,0.5,11,52.435581637248355,13.158182893250855
0.75,0.5,8,56.43920172657672,15.871796631967497
0.75,0.5,18,42.626780365358464,14.143467237110631
0.75,0.5,16,44.59187906190973,14.86260828898672
0.75,0.5,17,56.87096570392358,16.343338219587267
0.75,0.5,19,50.78280449544811,12.533362262367095
