Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA,Smart_Breach_Count,Smart_Breach_Energy,Open_Breach_Count,Open_Breach_Energy,Smart_Peak,Open_Peak,Smart_Cost,Open_Cost,Smart_Energy,Open_Energy
0.1,0.01,19,30.761292084383356,71.81060914617194,98.3540274667598,0,0.0,6,22.89384231271379,4.97911786512846,17.66309137698982,5.32640088390562,7.692808032173376,60.66798702365562,33.25453606014231
0.0,0.01,10,34.26630507745186,69.58671578047262,96.58310331348,3,0.5562048162365527,10,29.854110048841942,5.68562455,18.694543177120757,7.250247771572083,11.029728026265392,74.43057031805996,43.64029142238135
0.1,0.01,18,51.140697054718764,60.35017226702624,95.78713059573684,2,1.4963457201933568,8,24.88610095775853,7.171401027607625,18.086840315938407,5.472000422037845,11.199505707574414,67.31931016231107,31.595712669898873
0.25,0.01,8,45.431782665521055,61.09809405307986,97.6027857710721,0,0.0,6,12.62598564897865,4.625329944579504,11.889725791046214,5.312913740876035,9.736278735862367,55.710754657146374,32.13184171403433
0.25,0.01,9,34.82803305805941,60.635616575125276,94.94055438699652,4,1.3612381583204813,6,20.277453636593368,6.562208961743634,16.670422322928886,4.1009780932680595,6.292549213562139,57.04930289692168,27.85621088793636
0.25,0.01,11,52.65767823502922,70.99258395208635,98.2031621378857,1,0.07844060889611004,6,21.218829558107984,5.15688121779222,17.77780278420603,3.206078053876234,6.772118337990881,52.91921537600515,24.35119029125366
0.25,0.01,12,50.913896644859804,49.34845936513924,98.64089889650123,2,0.41650923215951785,8,11.699407851356531,5.485737308793924,10.830346402175145,4.647639475329552,9.468340645627679,66.38131849823752,28.672479462019957
0.1,0.01,10,34.93681738661864,73.26171857502705,96.60941492206479,0,0.0,10,29.854110048841942,4.9985995658116265,18.694543177120757,7.176292087488355,11.029728026265392,76.87848998780981,43.64029142238135
0.25,0.01,14,86.66842009024471,-12.844094661229361,100.0,1,0.33493004514302305,1,0.012253790199479475,5.669860090286046,5.024507580398959,0.4176456930381063,3.132754676229311,34.103549681688115,7.429660091921379
0.1,0.01,16,37.84523236622334,50.287270945698026,96.34680617525716,4,0.4235882637804087,10,18.92450017883948,5.444293364190903,10.95150772801875,6.494068385478125,10.448222449711267,71.26934912692424,37.42272405229936
0.25,0.01,15,63.56845736325769,56.425818978657475,99.38826477747894,0,0.0,5,11.468696502879357,4.883329318442856,11.206933105755935,1.520051501791471,4.172350089448185,41.28960932305999,12.109678016523349
0.25,0.01,19,28.934422221733435,71.76540829836698,98.05411395366833,0,0.0,6,22.89384231271379,4.987101732179424,17.66309137698982,5.466938475436908,7.692808032173376,57.068430874320995,33.25453606014231
0.5,0.01,5,21.736597612258223,50.5476633013474,96.10972975245403,1,0.3587145709930253,7,13.041492891399795,5.717429141986051,11.561494407890802,5.912052047839024,7.554044249889417,44.49274127904402,35.41746021993941
0.5,0.01,8,46.44987847149362,61.59069210634046,96.19873003047717,0,0.0,6,12.62598564897865,4.566761386794787,11.889725791046214,5.213789095408423,9.736278735862367,41.48268058902265,32.13184171403433
0.25,0.01,6,15.32649525936991,51.718304732888,95.67640227971246,8,6.269866256380247,10,41.658390295074966,10.53724067,21.82450432136678,10.005025997883966,11.81600552443309,91.39122254357639,59.29946364344911
0.0,0.01,6,13.23323705406736,59.74518655436842,95.66039354598884,8,4.199450442230996,10,41.658390295074966,8.7854135,21.82450432136678,10.252365503063164,11.81600552443309,91.68011144090076,59.29946364344911
